FROM_TABLE,FROM_KEY,TO_TABLE,TO_KEY,SOURCE,MATURITY_LEVEL,MEMO
SID_ABE,Goods and Shipping Product Spec ABE,SID_ABE,Product Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Network Product Spec ABE,SID_ABE,Product Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Usage Volume Product Spec ABE,SID_ABE,Product Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Test ABE,SID_ABE,Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Usage ABE,SID_ABE,Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Product Usage Spec ABE,SID_ABE,Product Usage ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Domain,SID_ABE,top,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Facing Service ABE,SID_ABE,Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Facing Service Example ABE,SID_ABE,Customer Facing Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,CustomerFacing Service Role ABE,SID_ABE,Customer Facing Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Facing Service ABE,SID_ABE,Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Facing Service Examples ABE,SID_ABE,Resource Facing Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Facing Service Role ABE,SID_ABE,Resource Facing Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Capacity ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Configuration ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Order ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Party Roles ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Performance ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Level Spec ABE,SID_ABE,Service Performance ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Performance Specification ABE,SID_ABE,Service Performance ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Problem ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Specification ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Facing Service Spec ABE,SID_ABE,Service Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Facing Service Spec Examples ABE,SID_ABE,Customer Facing Service Spec ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Customer Facing Service Spec Role ABE,SID_ABE,Customer Facing Service Spec ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Package ABE,SID_ABE,Customer Facing Service Spec ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Package Spec Examples ABE,SID_ABE,Service Package ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Facing Service Spec ABE,SID_ABE,Service Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Facing Service Spec Role ABE,SID_ABE,Resource Facing Service Spec ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Bundle ABE,SID_ABE,Resource Facing Service Spec ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Bundle Examples ABE,SID_ABE,Service Bundle ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Catalog ABE,SID_ABE,Service Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Strategy & Plan ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Test ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Usage ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,TIP Service Management ABE,SID_ABE,Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Domain,SID_ABE,top,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Compound Resource ABE,SID_ABE,Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Logical Resource ABE,SID_ABE,Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Address ABE,SID_ABE,Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Computing and Software ABE,SID_ABE,Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Software Resource and Software ABE,SID_ABE,Computing and Software ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Converged Network ABE,SID_ABE,Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,LogicalResource Examples ABE,SID_ABE,Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Management Information ABE,SID_ABE,Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Accounting ABE,SID_ABE,Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Management Method ABE,SID_ABE,Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Performance Info ABE,SID_ABE,Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource State ABE,SID_ABE,Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Statistical ABE,SID_ABE,Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Security ABE,SID_ABE,Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service State ABE,SID_ABE,Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Service Statistical Info ABE,SID_ABE,Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Protocol Service ABE,SID_ABE,Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Bridging Protocols ABE,SID_ABE,Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,LAN Protocols ABE,SID_ABE,Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Management Protocols ABE,SID_ABE,Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Routed Protocols ABE,SID_ABE,Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Routing Protocols ABE,SID_ABE,Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Signaling Protocols ABE,SID_ABE,Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Switching Protocols ABE,SID_ABE,Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,WAN Protocols ABE,SID_ABE,Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Number ABE,SID_ABE,Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Statistics ABE,SID_ABE,Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,TIP Logical Resource ABE,SID_ABE,Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Network Resource Fulfillment ABE,SID_ABE,TIP Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Physical Resource ABE,SID_ABE,Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Auxiliary Component ABE,SID_ABE,Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Equipment ABE,SID_ABE,Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Equipment Holder ABE,SID_ABE,Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,HolderAtomic ABE,SID_ABE,Equipment Holder ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,HolderComposite ABE,SID_ABE,Equipment Holder ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Hardware ABE,SID_ABE,Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Physical Capacity ABE,SID_ABE,Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Physical Component ABE,SID_ABE,Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Physical Device ABE,SID_ABE,Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Physical Role ABE,SID_ABE,Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Pysical Role Example ABE,SID_ABE,Physical Role ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,ResourceRole System View ABE,SID_ABE,Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,TIP Resource ABE,SID_ABE,Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Network Resource Assurance ABE,SID_ABE,TIP Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Network Resource Basic ABE,SID_ABE,TIP Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Capacity ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Configuration ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Order ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Number Portability ABE,SID_ABE,Resource Order ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Number Portability Role ABE,SID_ABE,Resource Order ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Party Roles ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Performance ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Specification ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,CompoundResource Specification ABE,SID_ABE,Resource Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,LogicalResource Specification ABE,SID_ABE,Resource Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Logical Role Specification ABE,SID_ABE,LogicalResource Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,LogicalResource Spec Examples ABE,SID_ABE,LogicalResource Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Software Resource and Software Specifications ABE,SID_ABE,LogicalResource Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Software Resource Specification ABE,SID_ABE,Software Resource and Software Specifications ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Software Specification ABE,SID_ABE,Software Resource and Software Specifications ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,PhysicalResource Specification ABE,SID_ABE,Resource Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Physical Role Specification ABE,SID_ABE,PhysicalResource Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Catalog ABE,SID_ABE,Resource Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Strategy & Plan ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Test ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Topology ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Trouble ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Alarm ABE,SID_ABE,Resource Trouble ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Alarm Severity Assignment Profile ABE,SID_ABE,Resource Trouble ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Resource Usage ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,Stock Item ABE,SID_ABE,Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
