FROM_TABLE,FROM_KEY,TO_TABLE,TO_KEY,SOURCE,MATURITY_LEVEL,MEMO
TAM,3.9.1.4,Functions,352,GB929F,1,
TAM,3.9.1.4,Functions,351,GB929F,1,
TAM,9.3.3,Functions,835,GB929F,1,
TAM,9.3.3,Functions,834,GB929F,1,
TAM,9.3.3,Functions,836,GB929F,1,
TAM,5.22.2.3,Functions,114,GB929F,1,
TAM,5.22.2.2,Functions,113,GB929F,1,
TAM,5.22.1.2,Functions,732,GB929F,1,
TAM,5.22.2.3,Functions,115,GB929F,1,
TAM,5.22.2.2,Functions,112,GB929F,1,
TAM,5.17.6,Functions,96,GB929F,1,
TAM,5.17.4,Functions,103,GB929F,1,
TAM,5.17.3,Functions,98,GB929F,1,
TAM,5.17.1,Functions,99,GB929F,1,
TAM,5.17.4,Functions,102,GB929F,1,
TAM,5.17.4,Functions,1059,GB929F,1,
TAM,5.17.4,Functions,107,GB929F,1,
TAM,5.17.5,Functions,100,GB929F,1,
TAM,5.17.4,Functions,105,GB929F,1,
TAM,5.17.4,Functions,106,GB929F,1,
TAM,5.17.4,Functions,110,GB929F,1,
TAM,5.8.2,Functions,110,GB929F,1,
TAM,5.17.4,Functions,104,GB929F,1,
TAM,5.17.4,Functions,101,GB929F,1,
TAM,5.17.2,Functions,111,GB929F,1,
TAM,5.17.4,Functions,108,GB929F,1,
TAM,9.3.7,Functions,857,GB929F,1,
TAM,11.1,Functions,1,GB929F,1,
TAM,11.1,Functions,5,GB929F,1,
TAM,11.1,Functions,9,GB929F,1,
TAM,11.1,Functions,2,GB929F,1,
TAM,11.1,Functions,6,GB929F,1,
TAM,11.1,Functions,4,GB929F,1,
TAM,11.1,Functions,11,GB929F,1,
TAM,11.1,Functions,10,GB929F,1,
TAM,11.1,Functions,992,GB929F,1,
TAM,11.1,Functions,7,GB929F,1,
TAM,11.1,Functions,3,GB929F,1,
TAM,11.1,Functions,14,GB929F,1,
TAM,11.1,Functions,993,GB929F,1,
TAM,11.1,Functions,13,GB929F,1,
TAM,11.1,Functions,15,GB929F,1,
TAM,5.22.2.1.1,Functions,116,GB929F,1,
TAM,5.22.2.1.3,Functions,117,GB929F,1,
TAM,5.22.2.1.4,Functions,118,GB929F,1,
TAM,5.22.2.1.2,Functions,119,GB929F,1,
TAM,5.3.6,Functions,210,GB929F,1,
TAM,5.19.2,Functions,48,GB929F,1,
TAM,5.13.2,Functions,70,GB929F,1,
TAM,5.13.2,Functions,69,GB929F,1,
TAM,5.13.2,Functions,68,GB929F,1,
TAM,5.19.2,Functions,53,GB929F,1,
TAM,5.19.1,Functions,125,GB929F,1,
TAM,5.15.1,Functions,186,GB929F,1,
TAM,,Functions,706,GB929F,1,
TAM,5.22.3.1,Functions,706,GB929F,1,
TAM,,Functions,707,GB929F,1,
TAM,5.22.3.1,Functions,707,GB929F,1,
TAM,,Functions,708,GB929F,1,
TAM,5.22.3.1,Functions,708,GB929F,1,
TAM,9.6.2,Functions,1001,GB929F,1,
TAM,9.6.2,Functions,1002,GB929F,1,
TAM,5.6.3.1,Functions,130,GB929F,1,
TAM,5.6.3.1,Functions,129,GB929F,1,
TAM,5.14.2,Functions,166,GB929F,1,
